Michael Blaze,27,MIL,NL,40,0,0,1,0,0,0,0,0,0
Richard Bleier,29,NYY,AL,4,0,0,0,0,0,0,0,0,0
Jerry Blevins,32,NYM,NL,69,1,1,0,0,0,0,0,0,0
Xander Bogaert,23,BOS,AL,157,719,652,115,192,34,1,21,89,13
Mike Bolsinge,28,LAD,NL,5,9,9,0,0,0,0,0,0,0
Emilio Bonifacio,31,ATL,NL,24,43,38,6,8,0,0,0,3,1
Julio Borbon,30,BAL,AL,6,15,13,1,4,0,0,0,0,0
Wilfredo Bosca,26,PIT,NL,5,3,3,0,1,0,0,0,1,0
Buddy Boshers,28,MIN,AL,2,0,0,0,0,0,0,0,0,0
Justin Bour,28,MIA,NL,90,321,280,35,74,12,1,15,51,0
Peter Bourjo,29,PHI,NL,123,383,355,40,89,20,7,5,23,6
Michael Bourn,33,TOT,MLB,113,413,375,48,99,13,6,5,38,15
Michael Bourn,33,ARI,NL,89,358,329,43,86,12,6,3,30,13
Michael Bourn,33,BAL,AL,24,55,46,5,13,1,0,2,8,2
Matthew Bowma,25,STL,NL,57,2,1,0,0,0,0,0,0,0
Blaine Boye,34,MIL,NL,57,1,1,0,0,0,0,0,0,0
Brad Brac,30,BAL,AL,5,0,0,0,0,0,0,0,0,0
Silvino Brach,23,ARI,NL,25,1,1,0,0,0,0,0,0,0
Archie Bradle,23,ARI,NL,25,48,43,2,3,0,0,0,4,0
Jackie Bradley,26,BOS,AL,156,636,558,94,149,30,7,26,87,9
Jed Bradley,26,ATL,NL,6,0,0,0,0,0,0,0,0,0
Michael Brantley,29,CLE,AL,11,43,39,5,9,2,0,0,7,1
Steven Brault,24,PIT,NL,8,9,8,1,2,0,0,0,0,0
Ryan Brau,32,MIL,NL,135,564,511,80,156,23,3,30,91,16
Alex Bregma,22,HOU,AL,49,217,201,31,53,13,3,8,34,2
Bryce Brent,27,BOS,AL,25,64,61,8,17,3,0,1,7,0
Craig Breslow,35,MIA,NL,15,0,0,0,0,0,0,0,0,0
Austin Bric,24,MIA,NL,14,0,0,0,0,0,0,0,0,0
Parker Bridwel,24,BAL,AL,1,0,0,0,0,0,0,0,0,0
Reid Brignac,30,ATL,NL,13,29,29,3,6,2,0,0,1,0
Socrates Brito,23,ARI,NL,40,97,95,10,17,3,1,4,12,2
Zach Britton,28,BAL,AL,5,0,0,0,0,0,0,0,0,0
Mike Broadwa,29,SFG,NL,4,1,0,0,0,0,0,0,0,0
Trevor Brow,24,SFG,NL,75,184,173,17,41,7,0,5,19,0
Jonathan Broxto,32,STL,NL,62,0,0,0,0,0,0,0,0,0
Keon Broxto,26,MIL,NL,75,244,207,28,50,10,1,9,19,23
Jay Bruce,29,TOT,NL,147,589,539,74,135,27,6,33,99,4
Jay Bruce,29,CIN,NL,97,402,370,60,98,22,6,25,80,4
Jay Bruce,29,NYM,NL,50,187,169,14,37,5,0,8,19,0
Kris Bryan,24,CHC,NL,155,699,603,121,176,35,3,39,102,8
Jake Buchana,26,CHC,NL,2,1,1,0,0,0,0,0,0,0
Clay Buchholz,31,BOS,AL,4,3,2,0,0,0,0,0,0,0
Ryan Buchter,29,SDP,NL,64,0,0,0,0,0,0,0,0,0
Madison Bumgarne,26,SFG,NL,35,97,86,8,16,6,0,3,9,0
Dylan Bundy,23,BAL,AL,2,3,3,0,0,0,0,0,0,0
Enrique Burgo,25,ARI,NL,41,0,0,0,0,0,0,0,0,0
Sean Burnett,33,WSN,NL,10,0,0,0,0,0,0,0,0,0
Andy Burn,25,TOR,AL,10,7,6,2,0,0,0,0,0,0
Billy Burns,26,TOT,AL,97,332,311,39,73,11,4,0,13,17
Billy Burns,26,OAK,AL,73,292,274,32,64,11,4,0,12,14
Billy Burns,26,KCR,AL,24,40,37,7,9,0,0,0,1,3
Emmanuel Burriss,31,PHI,NL,39,50,45,3,5,1,1,0,0,1
Matt Buschman,32,ARI,NL,3,1,1,0,0,0,0,0,0,0
Matt Bus,30,TEX,AL,5,0,0,0,0,0,0,0,0,0
Nick Buss,29,LAA,AL,36,90,81,7,16,7,1,1,8,2
Drew Buter,32,KCR,AL,55,133,123,18,35,10,1,4,16,0
Billy Butle,30,TOT,AL,97,274,250,27,71,18,0,5,35,0
Billy Butle,30,OAK,AL,85,242,221,24,61,16,0,4,31,0
Billy Butle,30,NYY,AL,12,32,29,3,10,2,0,1,4,0
Eddie Butle,25,COL,NL,16,19,15,0,1,0,0,0,0,0
Byron Buxto,22,MIN,AL,92,331,298,44,67,19,6,10,38,10
Marlon Byr,38,CLE,AL,34,129,115,11,31,6,0,5,19,0
Asdrubal Cabrera,30,NYM,NL,141,568,521,65,146,30,1,23,62,5
Mauricio Cabrer,22,ATL,NL,38,0,0,0,0,0,0,0,0,0
Melky Cabrera,31,CHW,AL,151,646,591,70,175,42,5,14,86,2
Miguel Cabrer,33,DET,AL,158,679,595,92,188,31,1,38,108,0
Ramon Cabrera,26,CIN,NL,61,185,171,11,42,10,0,3,23,1
Trevor Cahil,28,CHC,NL,49,11,8,1,1,0,0,0,1,0
Lorenzo Cai,30,KCR,AL,103,434,397,56,114,19,1,9,56,14
Matt Cai,31,SFG,NL,20,28,27,1,2,1,0,1,5,0
Kole Calhoun,28,LAA,AL,157,672,594,91,161,35,5,18,75,2
Arquimedes Caminer,29,TOT,MLB,37,2,2,0,0,0,0,0,0,0
Arquimedes Caminer,29,PIT,NL,37,2,2,0,0,0,0,0,0,0
Eric Campbel,29,NYM,NL,40,88,75,9,13,1,0,1,9,1
Leonel Campo,28,SDP,NL,16,0,0,0,0,0,0,0,0,0
Vicente Campo,23,ARI,NL,1,2,2,0,0,0,0,0,0,0
Jeimer Candelario,22,CHC,NL,5,14,11,0,1,0,0,0,0,0
Mark Canh,27,OAK,AL,16,44,41,4,5,0,0,3,6,0
Robinson Cano,33,SEA,AL,161,715,655,107,195,33,2,39,103,0
Chris Capuano,37,MIL,NL,16,1,0,0,0,0,0,0,0,0
Matt Carasit,24,COL,NL,19,0,0,0,0,0,0,0,0,0
Stephen Cardull,28,COL,NL,27,59,56,5,12,3,1,2,6,0
Matt Carpenter,30,STL,NL,129,566,473,81,128,36,6,21,68,0
Ezequiel Carrera,29,TOR,AL,110,310,270,47,67,9,1,6,23,7
Chris Carte,29,MIL,NL,160,644,549,84,122,27,1,41,94,3
Curt Casal,27,TBR,AL,84,256,226,23,42,10,0,8,25,0
Andrew Cashne,29,TOT,NL,25,40,34,3,6,0,0,0,1,0
Andrew Cashne,29,SDP,NL,14,22,18,2,3,0,0,0,1,0
Andrew Cashne,29,MIA,NL,11,18,16,1,3,0,0,0,0,0
Santiago Casill,35,SFG,NL,61,0,0,0,0,0,0,0,0,0
Nicholas Castellano,24,DET,AL,110,447,411,54,117,25,4,18,58,1
Rusney Castill,28,BOS,AL,9,8,8,4,2,1,0,0,0,0
Welington Castill,29,ARI,NL,113,457,416,41,110,24,0,14,68,2
Daniel Castr,23,ATL,NL,47,139,130,8,26,1,0,0,7,1
Jason Castro,29,HOU,AL,113,376,329,41,69,16,3,11,32,2
Miguel Castr,21,COL,NL,18,0,0,0,0,0,0,0,0,0
Starlin Castr,26,NYY,AL,151,610,577,63,156,29,1,21,70,4
Gavin Cecchin,22,NYM,NL,4,7,6,2,2,2,0,0,2,0
Brett Ceci,29,TOR,AL,4,0,0,0,0,0,0,0,0,0
Darrell Ceciliani,26,TOR,AL,13,29,27,2,3,2,0,0,1,0
Xavier Cedeno,29,TBR,AL,5,0,0,0,0,0,0,0,0,0
Juan Centeno,26,MIN,AL,55,192,176,16,46,12,1,3,25,0
Francisco Cervell,30,PIT,NL,101,393,326,42,86,14,1,1,33,6
Hunter Cervenka,26,TOT,NL,63,0,0,0,0,0,0,0,0,0
Hunter Cervenka,26,ATL,NL,45,0,0,0,0,0,0,0,0,0
Hunter Cervenka,26,MIA,NL,18,0,0,0,0,0,0,0,0,0
Yoenis Cespede,30,NYM,NL,132,543,479,72,134,25,1,31,86,3
Jhoulys Chaci,28,TOT,MLB,5,10,10,1,3,0,0,0,1,0
Jhoulys Chaci,28,ATL,NL,4,8,8,0,2,0,0,0,1,0
Jhoulys Chaci,28,LAA,AL,1,2,2,1,1,0,0,0,0,0
Andrew Chafi,26,ARI,NL,32,0,0,0,0,0,0,0,0,0
Joba Chamberlai,30,CLE,AL,3,0,0,0,0,0,0,0,0,0
